id,date,time,mode,rating
102,2021/04/21,21:11:27,cn2en,1
117,2021/04/21,21:11:31,cn2en,6
112,2021/04/21,21:11:36,en2cn,6
106,2021/04/21,21:11:41,cn2en,6
97,2021/04/21,21:12:13,en2cn,6
100,2021/04/21,21:12:17,cn2en,6
98,2021/04/21,21:12:21,cn2en,5
123,2021/04/21,21:12:24,cn2en,6
99,2021/04/21,21:12:59,en2cn,6
115,2021/04/21,21:13:14,en2cn,3
114,2021/04/21,21:13:18,cn2en,6
109,2021/04/21,21:13:20,cn2en,6
113,2021/04/21,21:13:31,cn2en,4
119,2021/04/21,21:13:35,cn2en,6
117,2021/04/21,21:13:37,en2cn,6
99,2021/04/21,21:13:39,cn2en,6
118,2021/04/21,21:13:41,cn2en,6
96,2021/04/21,21:13:45,cn2en,6
108,2021/04/21,21:13:48,en2cn,6
120,2021/04/21,21:14:05,en2cn,6
106,2021/04/21,21:14:07,en2cn,6
107,2021/04/21,21:14:15,cn2en,4
103,2021/04/21,21:14:31,cn2en,4
122,2021/04/21,21:14:35,en2cn,6
100,2021/04/21,21:14:37,en2cn,6
124,2021/04/21,21:14:40,en2cn,6
115,2021/04/21,21:14:44,cn2en,6
105,2021/04/21,21:14:45,cn2en,6
102,2021/04/21,21:14:54,en2cn,4
116,2021/04/21,21:14:57,en2cn,6
101,2021/04/21,21:14:59,en2cn,6
107,2021/04/21,21:15:01,en2cn,6
103,2021/04/21,21:15:04,en2cn,6
112,2021/04/21,21:15:06,cn2en,6
104,2021/04/21,21:15:12,en2cn,5
125,2021/04/21,21:15:14,en2cn,6
96,2021/04/21,21:15:17,en2cn,6
119,2021/04/21,21:15:20,en2cn,6
104,2021/04/21,21:15:23,cn2en,6
122,2021/04/21,21:15:26,cn2en,6
97,2021/04/21,21:15:28,cn2en,6
142,2021/04/22,16:22:11,en2cn,6
132,2021/04/22,16:22:52,en2cn,6
145,2021/04/22,16:23:05,en2cn,2
126,2021/04/22,16:23:09,cn2en,6
139,2021/04/22,16:23:14,cn2en,6
144,2021/04/22,16:23:17,en2cn,6
173,2021/04/22,16:23:27,en2cn,2
167,2021/04/22,16:23:35,cn2en,5
146,2021/04/22,16:23:54,en2cn,1
162,2021/04/22,16:24:02,cn2en,3
141,2021/04/22,16:24:15,en2cn,3
154,2021/04/22,16:24:18,cn2en,6
161,2021/04/22,16:24:25,cn2en,6
164,2021/04/22,16:24:42,en2cn,3
157,2021/04/22,16:24:46,cn2en,5
155,2021/04/22,16:24:55,cn2en,3
143,2021/04/22,16:25:14,en2cn,6
168,2021/04/22,16:25:20,en2cn,5
130,2021/04/22,16:25:39,en2cn,3
127,2021/04/22,16:25:42,en2cn,6
151,2021/04/22,16:25:49,en2cn,5
133,2021/04/22,16:26:16,en2cn,6
133,2021/04/22,16:26:19,cn2en,6
